         9419130906 function calls (9037817859 primitive calls) in 13814.526 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2910304 4545.223    0.002 4552.395    0.002 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
   121258 2953.018    0.024 2953.018    0.024 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
 18059146   21.655    0.000   26.101    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\dtypes.py:215(__eq__)
  1211876   21.560    0.000  134.234    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\tensor_util.py:357(make_tensor_proto)
 60594056   21.490    0.000   27.585    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:806(_IsPresent)
224893142/219923364   20.942    0.000   22.349    0.000 {built-in method builtins.len}
 48838766   20.534    0.000   48.119    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:822(<listcomp>)
102656598   20.332    0.000   24.005    0.000 {built-in method builtins.hasattr}
   363558   20.328    0.000  325.292    0.001 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\auto_control_deps.py:346(__exit__)
17451040/10300994   20.248    0.000   22.778    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:1209(IsInitialized)
 33690388   20.096    0.000   44.392    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:1372(_Clear)
 24601270   19.781    0.000   61.393    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:697(field_setter)
 17214364   19.646    0.000   19.646    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\eager\context.py:950(executing_eagerly)
  3514466   19.644    0.000   65.087    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:3842(_create_op_helper)
